,,Default,HHInsurance,CarLoan,LastContactDay,NoOfContacts,DaysPassed,PrevAttempts,CallLength,CallStartHour,LastContactWkd,LastContactMon,LastContactWk,LastContactWkNum,Job_other,Marital_divorced,Marital_married,Marital_single,Education_0,Communication_other,Outcome_NoPrev,Outcome_other
train,25,0,0,0,17,2,-1,0,4.583333333333333,17,6,7,28,3,1,0,1,0,1,1,1,0
train,26,0,0,1,20,3,-1,0,1.7333333333333334,10,6,11,46,3,1,0,1,0,1,1,1,0
train,27,0,0,0,21,3,-1,0,4.633333333333334,12,3,4,16,4,1,1,0,0,1,1,1,0
train,28,0,1,0,16,3,-1,0,1.8166666666666667,13,3,6,24,3,1,0,1,0,1,1,1,0
train,29,0,0,0,20,14,-1,0,0.21666666666666667,10,0,6,25,4,1,0,1,0,1,1,1,0
train,30,0,0,0,30,3,84,3,12.766666666666667,11,5,4,17,5,1,0,1,0,1,1,0,1
train,31,0,1,0,2,1,194,3,2.566666666666667,10,3,6,22,1,1,0,0,1,1,1,0,1
train,32,0,0,0,13,3,-1,0,4.733333333333333,10,5,8,32,2,1,0,0,1,1,1,1,0
train,33,0,0,0,5,2,-1,0,6.383333333333334,15,4,2,5,1,1,1,0,0,1,1,1,0
train,34,0,1,0,27,7,-1,0,0.65,13,4,5,21,4,1,0,0,1,1,1,1,0
train,35,0,1,0,14,1,-1,0,8.433333333333334,14,5,5,19,2,1,0,1,0,1,1,1,0
train,36,0,1,1,21,3,-1,0,16.45,11,5,5,20,3,1,0,1,0,1,1,1,0
train,37,0,1,0,30,5,-1,0,0.6833333333333333,15,5,7,30,5,1,0,1,0,1,1,1,0
train,38,0,1,0,18,3,-1,0,10.666666666666666,13,0,7,29,4,1,1,0,0,1,1,1,0
train,39,0,1,1,17,3,-1,0,1.1666666666666667,15,3,11,46,3,1,0,1,0,1,1,1,0
train,40,0,1,0,29,2,-1,0,2.15,17,6,5,21,4,1,0,1,0,1,1,1,0
train,41,0,1,0,29,1,-1,0,2.2333333333333334,11,6,5,21,4,1,0,1,0,1,1,1,0
train,42,0,0,0,5,1,-1,0,11.65,9,4,2,5,1,1,0,0,1,1,1,1,0
train,43,0,1,0,15,1,176,1,7.2,10,6,5,19,2,1,0,1,0,1,1,0,1
train,44,0,0,0,21,1,-1,0,0.6,11,6,8,33,3,1,0,1,0,1,1,1,0
train,45,0,1,0,3,3,-1,0,1.8833333333333333,16,4,6,22,1,1,0,0,1,1,1,1,0
train,46,0,1,0,23,1,-1,0,12.683333333333334,12,5,7,29,4,1,1,0,0,1,1,1,0
train,47,0,0,0,9,2,-1,0,18.433333333333334,16,6,10,40,2,1,1,0,0,1,1,1,0
train,48,0,0,0,2,4,-1,0,1.1833333333333333,17,3,6,22,1,1,0,0,1,1,1,1,0
train,49,0,0,0,4,4,-1,0,3.45,9,3,2,5,1,1,1,0,0,1,1,1,0
train,50,0,1,0,16,1,-1,0,4.383333333333334,16,5,4,15,3,1,1,0,0,1,1,1,0
train,51,0,0,0,17,1,-1,0,1.2,10,4,6,24,3,1,0,1,0,1,1,1,0
train,52,0,1,1,20,1,-1,0,7.566666666666666,13,6,11,46,3,1,0,1,0,1,1,1,0
train,53,0,0,0,20,3,-1,0,5.85,16,4,5,20,3,1,0,1,0,1,1,1,0
train,54,0,0,1,29,1,-1,0,2.066666666666667,9,4,1,4,4,1,0,1,0,1,1,1,0
train,55,0,0,0,2,3,-1,0,23.666666666666668,16,1,2,5,1,1,0,1,0,1,1,1,0
train,56,0,1,0,21,1,171,5,4.716666666666667,14,0,11,47,4,1,0,1,0,1,1,0,1
train,57,0,0,1,13,1,327,1,1.5333333333333334,17,3,10,41,3,1,1,0,0,1,1,0,1
train,58,0,1,0,18,1,-1,0,10.2,13,2,5,20,3,1,0,0,1,1,1,1,0
train,59,0,0,0,26,1,-1,0,5.15,12,3,5,21,4,1,0,1,0,1,1,1,0
train,60,0,0,0,28,4,-1,0,1.35,15,6,8,34,4,1,1,0,0,1,1,1,0
train,61,0,0,0,18,2,-1,0,19.683333333333334,16,4,11,46,3,1,0,1,0,1,1,1,0
train,62,0,0,0,12,1,-1,0,4.45,13,4,8,32,2,1,0,0,1,1,1,1,0
train,63,0,0,0,23,2,-1,0,2.2,16,0,5,21,4,1,0,1,0,1,1,1,0
train,64,0,1,0,15,4,-1,0,16.7,9,6,5,19,2,1,0,0,1,1,1,1,0
train,65,0,0,0,1,1,-1,0,4.916666666666667,14,2,6,22,1,1,0,1,0,1,1,1,0
train,66,0,0,0,29,1,-1,0,0.4166666666666667,12,4,1,4,4,1,0,0,1,1,1,1,0
train,67,0,1,0,20,1,-1,0,3.0833333333333335,10,2,4,16,4,1,0,1,0,1,1,1,0
train,68,0,1,0,15,1,-1,0,2.25,17,4,4,15,3,1,0,1,0,1,1,1,0
train,69,0,1,0,18,1,-1,0,5.266666666666667,17,5,6,24,3,1,0,1,0,1,1,1,0
train,70,0,1,0,7,2,-1,0,23.183333333333334,9,5,5,18,1,1,0,1,0,1,1,1,0
train,71,0,1,0,26,2,-1,0,5.683333333333334,14,3,5,21,4,1,0,1,0,1,1,1,0
train,72,0,0,0,2,7,94,2,3.433333333333333,14,4,9,35,1,1,0,0,1,1,1,0,1
train,73,0,1,0,29,3,-1,0,3.4833333333333334,13,6,5,21,4,1,0,1,0,1,1,1,0
train,74,0,0,0,27,4,-1,0,0.9666666666666667,17,5,8,34,4,1,1,0,0,1,1,1,0
train,75,0,0,0,10,1,183,1,2.816666666666667,13,2,2,6,2,1,1,0,0,1,1,0,1
train,76,0,1,0,23,1,320,1,3.0166666666666666,11,3,6,25,4,1,0,1,0,1,1,0,1
train,77,0,1,0,30,1,-1,0,5.2,13,0,5,22,5,1,0,1,0,1,1,1,0
train,78,0,1,0,15,1,176,1,2.55,15,6,5,19,2,1,0,0,1,1,1,0,1
train,79,0,1,0,29,1,-1,0,5.366666666666666,15,6,5,21,4,1,0,0,1,1,1,1,0
train,80,0,1,0,15,3,-1,0,20.95,11,6,5,19,2,1,0,0,1,1,1,1,0
train,81,0,0,0,27,6,-1,0,0.95,9,5,8,34,4,1,0,1,0,1,1,1,0
train,82,0,1,1,12,2,-1,0,4.816666666666666,14,3,5,19,2,1,0,1,0,1,1,1,0
train,83,0,0,0,17,1,-1,0,1.5666666666666667,10,4,6,24,3,1,0,0,1,1,1,1,0
train,84,0,0,0,29,2,-1,0,31.95,9,4,1,4,4,1,0,1,0,1,1,1,0
train,85,0,0,0,10,1,-1,0,4.466666666666667,17,6,7,27,2,1,1,0,0,1,1,1,0
train,86,1,1,1,7,1,-1,0,3.783333333333333,11,5,5,18,1,1,0,1,0,1,1,1,0
train,87,0,1,0,13,2,-1,0,20.116666666666667,11,4,5,19,2,1,0,1,0,1,1,1,0
train,88,0,1,0,15,3,352,6,7.666666666666667,16,6,5,19,2,1,0,0,1,1,1,0,1
train,89,0,0,0,24,1,-1,0,20.066666666666666,10,6,7,29,4,1,0,0,1,1,1,1,0
train,90,0,1,1,6,1,-1,0,20.016666666666666,17,4,5,18,1,1,0,1,0,1,1,1,0
train,91,0,1,0,30,2,-1,0,10.866666666666667,16,0,5,22,5,1,0,0,1,1,1,1,0
train,92,0,1,0,27,4,-1,0,1.8666666666666667,12,4,5,21,4,1,1,0,0,1,1,1,0
train,93,0,1,0,21,2,-1,0,3.6666666666666665,14,0,11,47,4,1,1,0,0,1,1,1,0
train,94,0,1,0,23,3,-1,0,2.6666666666666665,14,0,5,21,4,1,0,1,0,1,1,1,0
train,95,0,0,0,25,12,-1,0,1.05,9,0,7,30,5,1,0,1,0,1,1,1,0
train,96,0,0,1,29,2,-1,0,4.183333333333334,16,4,1,4,4,1,1,0,0,1,1,1,0
train,97,0,0,0,3,1,-1,0,8.983333333333333,14,4,6,22,1,1,0,0,1,1,1,1,0
train,98,0,0,0,7,5,-1,0,0.7666666666666667,12,3,7,27,2,1,0,1,0,1,1,1,0
train,99,0,0,0,18,2,95,4,2.95,12,0,1,3,3,1,0,0,1,1,1,0,1
train,100,0,0,0,16,4,-1,0,1.2666666666666666,14,5,4,15,3,1,0,1,0,1,1,1,0
train,101,0,1,0,13,2,-1,0,28.683333333333334,11,4,5,19,2,1,0,1,0,1,1,1,0
train,102,0,0,0,19,1,276,2,19.133333333333333,15,1,7,29,4,1,0,1,0,1,1,0,1
train,103,0,0,0,4,2,-1,0,10.283333333333333,15,2,5,18,1,1,0,1,0,1,1,1,0
train,104,0,0,0,17,1,-1,0,1.3833333333333333,9,3,11,46,3,1,0,1,0,1,1,1,0
train,105,0,0,0,4,1,-1,0,10.0,17,3,8,31,1,1,0,1,0,1,1,1,0
train,106,0,1,0,2,1,-1,0,2.3,15,1,2,5,1,1,0,1,0,1,1,1,0
train,107,0,0,0,20,2,-1,0,3.25,10,5,8,33,3,1,0,1,0,1,1,1,0
train,108,0,0,0,25,1,-1,0,4.533333333333333,10,2,5,21,4,1,0,1,0,1,1,1,0
train,109,0,0,1,14,4,-1,0,2.05,9,3,7,28,3,1,0,0,1,1,1,1,0
train,110,0,1,0,7,4,-1,0,8.233333333333333,13,3,7,27,2,1,0,1,0,1,1,1,0
train,111,0,0,0,2,2,-1,0,2.6666666666666665,9,3,6,22,1,1,0,1,0,1,1,1,0
train,112,0,1,0,28,4,-1,0,1.35,12,5,5,21,4,1,0,0,1,1,1,1,0
train,113,0,1,0,2,2,-1,0,1.2166666666666666,15,2,3,9,1,1,0,1,0,1,1,1,0
train,114,0,1,0,26,3,-1,0,2.65,13,3,5,21,4,1,0,1,0,1,1,1,0
train,115,0,0,0,30,1,86,3,4.95,10,5,4,17,5,1,0,1,0,1,1,0,1
train,116,0,1,1,30,4,-1,0,9.05,16,5,7,30,5,1,0,1,0,1,1,1,0
train,117,0,0,0,4,5,184,1,1.5666666666666667,17,3,2,5,1,1,0,1,0,1,1,0,1
train,118,0,0,0,10,1,728,2,7.45,14,2,8,32,2,1,0,1,0,1,1,0,1
train,119,1,0,0,28,5,-1,0,2.75,13,3,7,30,5,1,0,1,0,1,1,1,0
train,120,0,0,0,6,1,-1,0,2.35,11,5,2,5,1,1,0,0,1,1,1,1,0
train,121,0,0,0,30,2,-1,0,6.15,10,4,12,52,5,1,1,0,0,1,1,1,0
train,122,0,0,0,9,1,-1,0,3.35,13,2,11,45,2,1,0,1,0,1,1,1,0
train,123,0,0,0,20,2,-1,0,16.216666666666665,14,0,6,25,4,1,0,1,0,1,1,1,0
train,124,0,0,0,15,2,105,2,1.7833333333333334,16,3,9,37,3,1,0,1,0,1,1,0,1
train,125,0,0,1,10,5,-1,0,2.683333333333333,9,6,7,27,2,1,1,0,0,1,1,1,0
train,126,0,0,0,22,2,-1,0,11.183333333333334,15,0,8,34,4,1,1,0,0,1,1,1,0
train,127,0,1,1,20,2,122,2,20.966666666666665,12,6,11,46,3,1,0,1,0,1,1,0,1
train,128,0,0,0,21,1,-1,0,26.183333333333334,9,0,11,47,4,1,0,0,1,1,1,1,0
train,129,0,1,0,19,2,-1,0,1.7,12,4,8,33,3,1,0,1,0,1,1,1,0
train,130,0,0,1,9,3,-1,0,4.1,9,5,7,27,2,1,0,1,0,1,1,1,0
train,131,0,0,0,28,1,-1,0,14.883333333333333,14,2,12,52,5,1,0,1,0,1,1,1,0
train,132,0,0,0,13,1,-1,0,7.2,14,6,3,10,2,1,0,1,0,1,1,1,0
train,133,0,1,0,16,1,317,1,5.15,15,5,4,15,3,1,1,0,0,1,1,0,1
train,134,0,0,1,9,1,-1,0,1.2833333333333334,12,5,7,27,2,1,0,1,0,1,1,1,0
train,135,0,0,0,20,1,90,4,4.883333333333334,13,5,8,33,3,1,0,1,0,1,1,0,1
train,136,0,0,0,21,1,-1,0,10.8,14,0,11,47,4,1,1,0,0,1,1,1,0
train,137,0,0,0,3,1,-1,0,3.3833333333333333,11,6,7,26,1,1,0,0,1,1,1,1,0
train,138,0,1,0,14,1,290,2,1.2333333333333334,14,5,5,19,2,1,0,0,1,1,1,0,1
train,139,0,0,0,9,3,94,4,2.4166666666666665,16,1,8,32,2,1,0,1,0,1,1,0,1
train,140,0,1,1,12,2,-1,0,3.0,11,3,5,19,2,1,0,1,0,1,1,1,0
train,141,0,0,0,4,1,-1,0,8.583333333333334,10,3,2,5,1,1,0,0,1,1,1,1,0
train,142,0,0,1,28,3,-1,0,0.5166666666666667,14,3,7,30,5,1,0,1,0,1,1,1,0
train,143,0,1,0,17,1,-1,0,2.25,14,6,4,15,3,1,0,0,1,1,1,1,0
train,144,0,0,0,29,2,-1,0,6.716666666666667,15,4,1,4,4,1,0,1,0,1,1,1,0
train,145,0,0,0,13,1,412,1,7.916666666666667,11,2,7,28,3,1,0,0,1,1,1,0,1
train,146,0,0,0,29,3,155,3,3.6666666666666665,16,5,10,43,5,1,0,0,1,1,1,0,1
train,147,0,1,1,8,1,-1,0,2.2333333333333334,13,6,5,18,1,1,0,0,1,1,1,1,0
train,148,0,0,0,9,2,-1,0,9.216666666666667,13,3,6,23,2,1,0,1,0,1,1,1,0
train,149,0,1,0,15,1,350,8,3.0833333333333335,10,6,5,19,2,1,0,0,1,1,1,0,1
train,150,0,0,0,27,4,92,1,11.666666666666666,10,5,8,34,4,1,1,0,0,1,1,0,1
train,151,0,1,0,12,1,-1,0,2.433333333333333,10,2,10,41,3,1,1,0,0,1,1,1,0
train,152,0,1,0,30,1,-1,0,3.9,12,0,5,22,5,1,1,0,0,1,1,1,0
train,153,0,0,0,2,2,-1,0,8.033333333333333,15,3,6,22,1,1,0,1,0,1,1,1,0
train,154,0,0,0,12,3,-1,0,2.933333333333333,9,1,4,15,3,1,0,0,1,1,1,1,0
train,155,0,0,0,4,1,1,8,4.8,17,3,8,31,1,1,0,1,0,1,1,0,1
train,156,0,1,0,3,1,-1,0,1.8333333333333333,13,4,6,22,1,1,0,1,0,1,1,1,0
train,157,0,1,1,21,2,179,3,0.31666666666666665,17,0,11,47,4,1,0,1,0,1,1,0,1
train,158,0,1,0,19,1,-1,0,1.0,9,5,11,46,3,1,0,0,1,1,1,1,0
train,159,0,0,0,13,1,-1,0,2.033333333333333,13,2,4,15,3,1,0,0,1,1,1,1,0
train,160,0,0,0,27,2,-1,0,6.95,17,4,5,21,4,1,0,1,0,1,1,1,0
train,161,0,0,0,19,4,-1,0,1.55,16,6,6,24,3,1,0,1,0,1,1,1,0
train,162,0,0,0,20,4,-1,0,1.1666666666666667,9,5,8,33,3,1,0,1,0,1,1,1,0
train,163,0,0,0,15,3,189,1,6.566666666666666,16,0,2,7,3,1,1,0,0,1,1,0,1
train,164,0,0,0,20,6,-1,0,0.21666666666666667,13,0,6,25,4,1,0,1,0,1,1,1,0
train,165,0,1,0,9,1,-1,0,10.9,10,0,5,19,2,1,0,0,1,1,1,1,0
train,166,0,0,1,9,2,-1,0,1.0,17,1,2,6,2,1,1,0,0,1,1,1,0
train,167,0,0,0,22,2,-1,0,9.416666666666666,10,0,8,34,4,1,0,1,0,1,1,1,0
train,168,0,0,0,20,5,-1,0,3.783333333333333,10,2,4,16,4,1,0,0,1,1,1,1,0
train,169,0,0,1,3,3,-1,0,3.8333333333333335,16,6,7,26,1,1,0,1,0,1,1,1,0
train,170,0,0,0,31,7,-1,0,0.9166666666666666,10,6,7,30,5,1,0,0,1,1,1,1,0
train,171,0,1,0,21,1,-1,0,4.95,13,0,11,47,4,1,0,1,0,1,1,1,0
train,172,0,0,0,18,1,290,3,6.033333333333333,9,4,3,11,3,1,1,0,0,1,1,0,1
train,173,0,1,0,16,4,-1,0,25.933333333333334,11,2,11,46,3,1,0,1,0,1,1,1,0
train,174,0,1,0,28,8,-1,0,6.216666666666667,9,6,8,34,4,1,0,0,1,1,1,1,0
train,175,0,1,0,9,3,-1,0,0.7333333333333333,11,0,5,19,2,1,0,0,1,1,1,1,0
train,176,0,0,0,13,1,92,5,3.1666666666666665,10,3,10,41,3,1,0,0,1,1,1,0,1
train,177,0,1,0,8,3,-1,0,3.966666666666667,9,6,5,18,1,1,0,1,0,1,1,1,0
train,178,0,0,0,29,1,120,2,2.65,9,3,9,39,5,1,1,0,0,1,1,0,1
train,179,0,0,0,26,1,-1,0,10.4,11,4,8,34,4,1,0,1,0,1,1,1,0
train,180,0,1,1,6,1,-1,0,2.4,14,4,5,18,1,1,0,1,0,1,1,1,0
train,181,0,1,1,7,4,-1,0,2.5166666666666666,12,3,7,27,2,1,0,1,0,1,1,1,0
train,182,0,0,0,4,1,90,2,9.2,17,2,5,18,1,1,0,1,0,1,1,0,1
train,183,0,0,0,17,1,-1,0,8.7,11,4,6,24,3,1,1,0,0,1,1,1,0
train,184,0,0,0,14,1,-1,0,2.8833333333333333,10,3,4,15,3,1,0,1,0,1,1,1,0
train,185,0,1,0,25,1,94,2,5.066666666666666,12,1,10,43,5,1,0,0,1,1,1,0,1
train,186,0,0,0,11,3,-1,0,1.95,10,3,8,32,2,1,0,1,0,1,1,1,0
train,187,0,0,0,1,1,115,3,8.366666666666667,14,5,10,39,1,1,0,0,1,1,1,0,1
train,188,0,1,1,5,1,-1,0,6.483333333333333,16,3,5,18,1,1,1,0,0,1,1,1,0
train,189,0,0,0,28,11,-1,0,12.166666666666666,11,6,8,34,4,1,0,1,0,1,1,1,0
train,190,0,0,0,15,3,-1,0,1.1833333333333333,9,6,5,19,2,1,1,0,0,1,1,1,0
train,191,0,0,0,20,4,-1,0,0.2,16,0,6,25,4,1,1,0,0,1,1,1,0
train,192,0,1,0,18,1,107,2,0.36666666666666664,14,6,9,37,3,1,0,0,1,1,1,0,1
train,193,0,0,0,9,1,-1,0,1.7666666666666666,10,5,7,27,2,1,0,1,0,1,1,1,0
train,194,0,0,0,29,2,-1,0,7.016666666666667,16,2,6,26,5,1,0,0,1,1,1,1,0
train,195,0,1,0,18,1,-1,0,6.45,11,2,5,20,3,1,0,1,0,1,1,1,0
train,196,0,1,1,7,2,-1,0,7.683333333333334,17,3,7,27,2,1,0,1,0,1,1,1,0
train,197,0,1,0,21,2,-1,0,1.1666666666666667,13,0,11,47,4,1,1,0,0,1,1,1,0
train,198,0,0,0,16,1,88,1,6.333333333333333,15,2,11,46,3,1,0,1,0,1,1,0,1
train,199,0,1,0,15,1,291,3,2.466666666666667,12,6,5,19,2,1,0,1,0,1,1,0,1
train,200,0,0,0,14,4,-1,0,20.516666666666666,10,6,8,32,2,1,0,1,0,1,1,1,0
train,201,0,0,0,11,3,-1,0,1.4833333333333334,9,5,6,23,2,1,0,1,0,1,1,1,0
train,202,0,0,0,7,2,-1,0,3.0,17,3,7,27,2,1,0,0,1,1,1,1,0
train,203,0,0,0,12,4,-1,0,5.916666666666667,11,4,8,32,2,1,0,1,0,1,1,1,0
train,204,0,0,0,14,2,-1,0,1.8833333333333333,9,6,8,32,2,1,0,1,0,1,1,1,0
train,205,0,1,1,30,3,-1,0,20.2,13,0,5,22,5,1,0,0,1,1,1,1,0
train,206,1,0,0,28,1,-1,0,17.466666666666665,15,3,1,4,4,1,1,0,0,1,1,1,0
train,207,0,1,0,9,1,330,1,4.466666666666667,15,5,4,14,2,1,0,1,0,1,1,0,1
train,208,0,0,0,30,1,87,1,16.166666666666668,13,5,4,17,5,1,0,1,0,1,1,0,1
train,209,0,1,0,18,1,-1,0,15.483333333333333,11,4,11,46,3,1,0,1,0,1,1,1,0
train,210,0,1,1,16,5,183,2,1.4,9,5,7,28,3,1,0,1,0,1,1,0,1
train,211,0,0,0,17,2,91,1,2.2333333333333334,9,3,11,46,3,1,1,0,0,1,1,0,1
train,212,0,1,0,20,2,350,1,9.65,13,2,4,16,4,1,0,1,0,1,1,0,1
train,213,0,0,0,31,5,-1,0,19.033333333333335,12,6,7,30,5,1,0,1,0,1,1,1,0
train,214,0,1,0,5,2,-1,0,9.133333333333333,14,6,6,22,1,1,0,0,1,1,1,1,0
train,215,0,0,0,6,3,194,2,5.583333333333333,10,2,7,27,2,1,0,0,1,1,1,0,1
train,216,0,0,0,4,1,-1,0,5.016666666666667,13,3,2,5,1,1,0,0,1,1,1,1,0
train,217,0,1,0,29,2,-1,0,3.7333333333333334,16,4,1,4,4,1,0,1,0,1,1,1,0
train,218,0,0,0,3,2,-1,0,1.6,17,3,3,9,1,1,0,1,0,1,1,1,0
train,219,0,1,0,6,1,-1,0,2.3,9,4,5,18,1,1,0,0,1,1,1,1,0
train,220,0,0,0,10,2,194,1,3.033333333333333,11,3,11,45,2,1,0,1,0,1,1,0,1
train,221,0,1,1,15,3,-1,0,8.866666666666667,11,6,5,19,2,1,0,1,0,1,1,1,0
train,222,0,1,0,10,1,-1,0,13.05,9,6,7,27,2,1,0,1,0,1,1,1,0
train,223,0,1,0,13,1,-1,0,3.3333333333333335,16,4,5,19,2,1,0,1,0,1,1,1,0
train,224,0,1,0,30,2,-1,0,1.3666666666666667,12,5,1,4,4,1,0,1,0,1,1,1,0
train,225,0,0,1,18,1,-1,0,2.15,17,5,6,24,3,1,0,1,0,1,1,1,0
train,226,0,0,0,18,1,370,1,10.266666666666667,14,2,5,20,3,1,1,0,0,1,1,0,1
train,227,0,1,0,15,1,368,1,0.9166666666666666,17,6,5,19,2,1,0,0,1,1,1,0,1
train,228,0,1,0,8,3,-1,0,10.1,9,6,5,18,1,1,0,0,1,1,1,1,0
train,229,0,1,0,3,4,270,3,4.45,13,2,2,5,1,1,1,0,0,1,1,0,1
train,230,0,0,0,19,1,-1,0,10.566666666666666,12,4,8,33,3,1,0,0,1,1,1,1,0
train,231,0,1,1,10,1,161,4,2.7,15,2,8,32,2,1,0,1,0,1,1,0,1
train,232,0,0,0,23,1,74,2,7.933333333333334,15,6,10,42,4,1,0,0,1,1,1,0,1
train,233,0,1,0,18,5,-1,0,0.15,14,2,5,20,3,1,0,1,0,1,1,1,0
train,234,0,0,0,1,2,-1,0,10.833333333333334,13,4,7,26,1,1,0,0,1,1,1,1,0
train,235,0,0,0,20,1,-1,0,0.95,14,6,11,46,3,1,0,1,0,1,1,1,0
train,236,0,0,0,17,2,-1,0,1.5166666666666666,15,3,11,46,3,1,0,1,0,1,1,1,0
train,237,0,1,0,12,12,-1,0,5.066666666666666,15,4,8,32,2,1,0,1,0,1,1,1,0
train,238,0,1,0,8,3,-1,0,1.9833333333333334,17,0,8,32,2,1,0,1,0,1,1,1,0
train,239,0,0,0,27,1,188,1,2.3833333333333333,16,3,10,43,5,1,0,0,1,1,1,0,1
train,240,0,1,1,19,3,-1,0,2.716666666666667,9,3,5,20,3,1,0,1,0,1,1,1,0
train,241,0,1,0,19,1,-1,0,1.7,10,3,5,20,3,1,0,1,0,1,1,1,0
train,242,0,0,0,19,1,-1,0,1.2166666666666666,17,6,6,24,3,1,0,1,0,1,1,1,0
train,243,0,1,0,5,3,-1,0,8.583333333333334,15,4,8,31,1,1,0,1,0,1,1,1,0
train,244,0,1,0,4,1,178,2,8.15,15,3,2,5,1,1,0,1,0,1,1,0,1
train,245,0,1,0,17,3,148,1,5.433333333333334,9,6,4,15,3,1,0,1,0,1,1,0,1
train,246,0,1,0,30,1,-1,0,5.783333333333333,17,5,4,17,5,1,0,1,0,1,1,1,0
train,247,0,0,0,21,2,-1,0,4.583333333333333,11,0,11,47,4,1,1,0,0,1,1,1,0
train,248,0,1,0,26,2,-1,0,3.966666666666667,15,3,5,21,4,1,0,1,0,1,1,1,0
train,249,0,0,0,8,2,-1,0,6.633333333333334,14,6,5,18,1,1,1,0,0,1,1,1,0
train,250,0,1,0,11,11,-1,0,6.25,13,5,6,23,2,1,0,0,1,1,1,1,0
train,251,0,1,0,30,2,-1,0,10.833333333333334,9,5,7,30,5,1,0,1,0,1,1,1,0
train,252,0,0,0,12,5,-1,0,10.85,17,6,6,23,2,1,0,1,0,1,1,1,0
train,253,0,0,0,7,2,-1,0,1.7833333333333334,14,2,9,36,2,1,0,0,1,1,1,1,0
train,254,0,1,0,31,25,-1,0,0.08333333333333333,12,6,7,30,5,1,0,1,0,1,1,1,0
train,255,0,1,0,24,2,-1,0,2.4,12,3,3,12,4,1,1,0,0,1,1,1,0
train,256,0,1,0,8,2,-1,0,2.533333333333333,9,6,5,18,1,1,0,0,1,1,1,1,0
train,257,0,1,0,23,2,-1,0,2.566666666666667,9,0,5,21,4,1,0,1,0,1,1,1,0
train,258,0,0,1,16,11,-1,0,16.983333333333334,13,5,7,28,3,1,0,1,0,1,1,1,0
train,259,0,0,0,14,2,-1,0,2.7666666666666666,14,4,10,41,3,1,0,0,1,1,1,1,0
train,260,0,0,0,19,2,-1,0,2.2666666666666666,9,6,6,24,3,1,0,1,0,1,1,1,0
train,261,0,0,1,23,1,-1,0,6.183333333333334,9,5,7,29,4,1,0,1,0,1,1,1,0
train,262,1,0,1,24,1,-1,0,10.85,17,6,7,29,4,1,0,1,0,1,1,1,0
train,263,0,1,1,10,1,-1,0,16.016666666666666,15,6,7,27,2,1,0,1,0,1,1,1,0
