,,Education,Default,HHInsurance,CarLoan,LastContactDay,NoOfContacts,DaysPassed,PrevAttempts,CallLength,CallStartHour,LastContactWkd,LastContactMon,LastContactWk,LastContactWkNum,Job_None,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed,Marital_divorced,Marital_married,Marital_single,Communication_None,Communication_cellular,Communication_telephone,Outcome_NoPrev,Outcome_failure,Outcome_other,Outcome_success
train,126,3,0,0,0,22,2,-1,0,11.183333333333334,15,0,8,34,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
train,127,2,0,1,1,20,2,122,2,20.966666666666665,12,6,11,46,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
train,128,3,0,0,0,21,1,-1,0,26.183333333333334,9,0,11,47,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
train,129,2,0,1,0,19,2,-1,0,1.7,12,4,8,33,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,130,3,0,0,1,9,3,-1,0,4.1,9,5,7,27,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
train,131,3,0,0,0,28,1,-1,0,14.883333333333333,14,2,12,52,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,132,3,0,0,0,13,1,-1,0,7.2,14,6,3,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,133,3,0,1,0,16,1,317,1,5.15,15,5,4,15,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
train,134,2,0,0,1,9,1,-1,0,1.2833333333333334,12,5,7,27,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,135,2,0,0,0,20,1,90,4,4.883333333333334,13,5,8,33,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
train,136,3,0,0,0,21,1,-1,0,10.8,14,0,11,47,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,137,2,0,0,0,3,1,-1,0,3.3833333333333333,11,6,7,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
train,138,1,0,1,0,14,1,290,2,1.2333333333333334,14,5,5,19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
train,139,3,0,0,0,9,3,94,4,2.4166666666666665,16,1,8,32,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
train,140,2,0,1,1,12,2,-1,0,3.0,11,3,5,19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,141,2,0,0,0,4,1,-1,0,8.583333333333334,10,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
train,142,2,0,0,1,28,3,-1,0,0.5166666666666667,14,3,7,30,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
train,143,2,0,1,0,17,1,-1,0,2.25,14,6,4,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
train,144,2,0,0,0,29,2,-1,0,6.716666666666667,15,4,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
train,145,2,0,0,0,13,1,412,1,7.916666666666667,11,2,7,28,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
train,146,3,0,0,0,29,3,155,3,3.6666666666666665,16,5,10,43,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
train,147,2,0,1,1,8,1,-1,0,2.2333333333333334,13,6,5,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,148,1,0,0,0,9,2,-1,0,9.216666666666667,13,3,6,23,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,149,3,0,1,0,15,1,350,8,3.0833333333333335,10,6,5,19,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
train,150,3,0,0,0,27,4,92,1,11.666666666666666,10,5,8,34,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
train,151,2,0,1,0,12,1,-1,0,2.433333333333333,10,2,10,41,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,152,3,0,1,0,30,1,-1,0,3.9,12,0,5,22,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
train,153,1,0,0,0,2,2,-1,0,8.033333333333333,15,3,6,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,154,1,0,0,0,12,3,-1,0,2.933333333333333,9,1,4,15,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
train,155,2,0,0,0,4,1,1,8,4.8,17,3,8,31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
train,156,2,0,1,0,3,1,-1,0,1.8333333333333333,13,4,6,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
train,157,2,0,1,1,21,2,179,3,0.31666666666666665,17,0,11,47,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
train,158,3,0,1,0,19,1,-1,0,1.0,9,5,11,46,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,159,1,0,0,0,13,1,-1,0,2.033333333333333,13,2,4,15,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,160,2,0,0,0,27,2,-1,0,6.95,17,4,5,21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,161,2,0,0,0,19,4,-1,0,1.55,16,6,6,24,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,162,2,0,0,0,20,4,-1,0,1.1666666666666667,9,5,8,33,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,163,3,0,0,0,15,3,189,1,6.566666666666666,16,0,2,7,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
train,164,2,0,0,0,20,6,-1,0,0.21666666666666667,13,0,6,25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
